iter	Passed	Remaining
0	148	148306
1	149	74797
2	151	50440
3	153	38134
4	154	30759
5	155	25812
6	157	22284
7	158	19648
8	159	17586
9	160	15938
10	162	14595
11	163	13474
12	164	12521
13	166	11718
14	167	11014
15	169	10395
16	170	9849
17	171	9371
18	173	8947
19	174	8566
20	176	8220
21	177	7898
22	179	7623
23	180	7358
24	182	7118
25	183	6888
26	185	6672
27	186	6478
28	188	6299
29	189	6125
30	190	5967
31	192	5818
32	193	5676
33	195	5540
34	196	5414
35	197	5297
36	199	5186
37	200	5078
38	201	4976
39	203	4878
40	205	4807
41	207	4723
42	208	4641
43	209	4560
44	211	4481
45	212	4406
46	213	4334
47	215	4265
48	216	4203
49	217	4139
50	219	4080
51	220	4020
52	221	3965
53	223	3910
54	224	3860
55	226	3809
56	227	3760
57	229	3719
58	230	3671
59	231	3627
60	232	3584
61	234	3542
62	235	3501
63	236	3460
64	237	3422
65	239	3384
66	240	3348
67	241	3312
68	242	3277
69	244	3244
70	245	3215
71	246	3183
72	248	3152
73	249	3123
74	250	3094
75	252	3065
76	253	3036
77	254	3009
78	255	2982
79	257	2956
80	258	2931
81	259	2909
82	260	2879
83	261	2855
84	263	2831
85	264	2809
86	265	2786
87	266	2765
88	268	2745
89	269	2724
90	270	2703
91	271	2683
92	273	2664
93	274	2646
94	275	2627
95	277	2609
96	278	2591
97	279	2574
98	280	2557
99	282	2540
100	283	2523
101	284	2506
102	286	2491
103	287	2475
104	288	2459
105	289	2443
106	290	2428
107	292	2413
108	293	2398
109	294	2383
110	296	2371
111	297	2357
112	298	2345
113	300	2332
114	301	2319
115	302	2306
116	303	2292
117	304	2279
118	306	2266
119	307	2254
120	308	2243
121	309	2230
122	311	2219
123	312	2207
124	313	2197
125	315	2185
126	316	2173
127	317	2163
128	318	2153
129	320	2143
130	321	2131
131	322	2121
132	323	2110
133	324	2099
134	326	2090
135	327	2080
136	328	2071
137	330	2062
138	331	2053
139	332	2044
140	334	2034
141	334	2023
142	336	2015
143	337	2006
144	339	1999
145	340	1990
146	341	1983
147	343	1974
148	344	1965
149	345	1957
150	346	1949
151	347	1940
152	348	1932
153	350	1923
154	351	1914
155	352	1906
156	353	1898
157	354	1890
158	355	1882
159	357	1874
160	357	1864
161	358	1856
162	360	1848
163	361	1841
164	362	1834
165	363	1826
166	364	1818
167	366	1813
168	367	1807
169	368	1800
170	370	1795
171	371	1788
172	372	1782
173	374	1776
174	375	1770
175	376	1764
176	378	1759
177	379	1753
178	381	1747
179	382	1741
180	383	1735
181	384	1730
182	386	1724
183	387	1718
184	388	1712
185	390	1707
186	391	1701
187	392	1695
188	393	1690
189	395	1684
190	396	1678
191	397	1673
192	398	1667
193	400	1662
194	401	1656
195	402	1651
196	403	1646
197	405	1641
198	406	1636
199	407	1631
200	409	1627
201	410	1622
202	412	1618
203	413	1613
204	414	1608
205	415	1603
206	417	1597
207	418	1592
208	419	1588
209	421	1584
210	422	1579
211	423	1575
212	425	1571
213	426	1566
214	427	1562
215	429	1558
216	430	1553
217	431	1549
218	433	1544
219	434	1541
220	436	1537
221	437	1532
222	438	1528
223	439	1523
224	441	1519
225	442	1515
226	443	1511
227	445	1507
228	446	1502
229	447	1498
230	449	1495
231	450	1491
232	451	1487
233	453	1483
234	454	1479
235	455	1475
236	457	1471
237	458	1467
238	459	1463
239	460	1459
240	462	1456
241	463	1453
242	465	1450
243	466	1446
244	468	1443
245	470	1441
246	471	1437
247	472	1433
248	473	1429
249	475	1425
250	476	1422
251	478	1418
252	479	1414
253	480	1411
254	481	1406
255	482	1402
256	483	1399
257	485	1395
258	486	1391
259	487	1388
260	489	1384
261	490	1380
262	491	1377
263	492	1374
264	494	1370
265	495	1366
266	496	1362
267	497	1358
268	498	1355
269	500	1351
270	501	1348
271	502	1344
272	503	1341
273	504	1338
274	506	1335
275	507	1331
276	508	1328
277	510	1324
278	511	1321
279	512	1317
280	513	1314
281	515	1311
282	516	1308
283	517	1305
284	519	1302
285	520	1300
286	522	1298
287	524	1295
288	525	1292
289	526	1288
290	527	1285
291	528	1282
292	530	1279
293	531	1276
294	532	1273
295	534	1270
296	535	1268
297	537	1265
298	538	1262
299	539	1259
300	540	1255
301	542	1252
302	543	1250
303	544	1247
304	545	1243
305	547	1240
306	548	1237
307	549	1234
308	550	1231
309	552	1228
310	553	1225
311	554	1222
312	555	1218
313	556	1216
314	558	1213
315	559	1211
316	560	1208
317	561	1205
318	563	1201
319	564	1199
320	565	1196
321	566	1193
322	568	1190
323	569	1187
324	570	1184
325	571	1181
326	572	1179
327	574	1176
328	575	1173
329	576	1170
330	577	1167
331	578	1164
332	579	1161
333	581	1158
334	582	1155
335	583	1152
336	584	1149
337	585	1146
338	586	1144
339	588	1141
340	589	1138
341	590	1135
342	591	1133
343	592	1130
344	594	1128
345	595	1125
346	596	1122
347	597	1120
348	599	1117
349	600	1115
350	602	1113
351	603	1110
352	604	1107
353	605	1104
354	606	1102
355	607	1099
356	609	1097
357	610	1094
358	611	1091
359	612	1089
360	613	1086
361	615	1084
362	616	1081
363	617	1079
364	618	1076
365	620	1074
366	621	1071
367	622	1068
368	623	1066
369	624	1063
370	626	1061
371	627	1058
372	628	1056
373	629	1054
374	630	1051
375	632	1049
376	633	1046
377	634	1044
378	635	1041
379	637	1039
380	638	1037
381	639	1034
382	640	1032
383	642	1030
384	643	1027
385	644	1025
386	645	1022
387	646	1020
388	647	1017
389	648	1015
390	650	1012
391	651	1010
392	652	1007
393	653	1005
394	654	1003
395	656	1000
396	657	998
397	658	995
398	659	993
399	660	990
400	661	988
401	662	986
402	663	983
403	665	981
404	666	978
405	667	976
406	668	973
407	669	971
408	670	969
409	671	966
410	673	964
411	674	962
412	675	959
413	676	957
414	677	955
415	678	952
416	679	950
417	680	948
418	682	945
419	683	943
420	684	941
421	685	939
422	686	936
423	688	934
424	689	932
425	690	930
426	691	927
427	692	925
428	693	923
429	694	920
430	695	918
431	697	916
432	698	914
433	699	912
434	700	909
435	701	907
436	702	905
437	703	903
438	705	900
439	706	898
440	707	896
441	708	894
442	709	892
443	710	889
444	711	887
445	713	885
446	714	883
447	715	881
448	716	879
449	718	877
450	719	875
451	720	873
452	722	871
453	723	869
454	724	867
455	725	865
456	727	863
457	728	861
458	729	859
459	730	857
460	731	855
461	733	853
462	734	851
463	735	849
464	737	848
465	738	846
466	739	844
467	741	842
468	742	840
469	743	838
470	744	836
471	745	834
472	747	832
473	748	830
474	749	828
475	750	826
476	751	824
477	753	822
478	754	821
479	756	819
480	757	817
481	758	815
482	759	813
483	761	811
484	762	809
485	763	807
486	764	805
487	765	803
488	766	801
489	768	799
490	769	797
491	770	795
492	771	793
493	772	791
494	773	789
495	774	787
496	775	785
497	777	783
498	778	781
499	779	779
500	780	777
501	781	775
502	783	773
503	784	771
504	785	769
505	786	767
506	787	765
507	788	763
508	789	761
509	791	759
510	792	758
511	793	756
512	794	754
513	795	752
514	797	750
515	798	748
516	799	746
517	800	745
518	801	743
519	803	741
520	804	739
521	805	737
522	806	735
523	807	733
524	809	732
525	810	730
526	811	728
527	812	726
528	814	724
529	815	722
530	816	720
531	817	719
532	819	717
533	820	715
534	821	713
535	822	711
536	823	710
537	824	708
538	826	706
539	827	704
540	828	702
541	829	700
542	830	699
543	831	697
544	833	695
545	834	693
546	835	692
547	836	690
548	838	688
549	839	686
550	840	684
551	841	683
552	842	681
553	844	679
554	845	677
555	846	676
556	848	674
557	849	672
558	850	670
559	851	669
560	853	667
561	854	665
562	855	664
563	857	662
564	858	661
565	859	659
566	861	657
567	862	656
568	863	654
569	864	652
570	866	650
571	867	649
572	868	647
573	869	645
574	871	643
575	872	642
576	873	640
577	875	638
578	876	637
579	878	635
580	879	634
581	881	632
582	882	631
583	883	629
584	885	627
585	886	626
586	887	624
587	888	622
588	890	621
